lon_gda94,lat_gda94,Ag,As,Au,BaO,Bi,Co,Cr2O3,Cs,Cu,La,Mo,Nb,Ni,Pb,Rb,Sb,Sc,Sn,SrO,Ta,Th,U3O8,V,W,Y,Zn,Zr
139.5631952,-29.8774305,0.75,9,19.251,1280,3.75,1.5,4,7.5,10000,115,1.5,18,1.5,35,200,3,4.6215,3.75,76,0.9106,46,6,12,6.6232,42,48,65
139.6869242,-29.9927595,0.75,9,23.8,460,3.75,1.5,4,7.5,12000,165,1.5,35,1.5,15,290,3,7.057,5,20,1.0388,74,26,15,7.447,50,24,195
139.6511212,-29.9818765,0.075,17.4425,15,526.021,1,1,5.2375,1.77,30000,64.36,4,37.5,1,150,250,1.8969,6.8215,0.75,2,0.52,36.8911,10.221,6,15,49.1589,20,37.5
139.6009022,-29.9079925,0.075,10.403,15,372.112,7,15,19.7985,1.77,7000,67.4,3,37.5,1,15,65.2,3.4758,6.4165,5,200,0.52,33.98,11.63405,25,15,51.1675,25,60
139.5689702,-29.8804805,0.075,13.104,15,304.321,0.75,2,12.8645,1.77,8000,59.185,5,37.5,1,25,120,1.0703,6.19,1,66.5,0.52,32.9365,10.3403,25,15,48.601055,20,37.5
139.6299582,-29.9038405,0.3,17.3375,15,10,4,8,4.955,1.77,40000,65.3825,0.75,6.5839,0.75,4,22.5,2.36265,8.4075,0.75,40,0.503,18.035,7.65925,0.75,15,38.8765,15,125.734
139.5887122,-29.9835325,1.2,24.72,15,300,1.195,12,22.2975,1.77,80000,57.875,5,10.9224,15,60,400,2.6854,12.8205,1,80,0.7168,18.6337,10.7293,120,15,53.818,50,184.802
139.6378552,-29.8974255,0.75,15,19.102,130,6,3.75,5,10,20000,30,5,24,3.75,45,65.2,3,5.12,6,19,1.1578,4,25,3.75,8.3653,92,20,6
139.6367762,-29.8960695,0.75,15,23.576,590,3,3.75,5,7.5,10000,100,1.5,34,3.75,7.5,410,3,7.6535,10,125,1.5152,48,10,15,9.0519,76,15,350
139.6333662,-29.9030455,0.375,3.75,34.989,210,6,35,20,1.77,10000,26,5,7.15,3.75,210,200,5,6.2985,6,28,0.5126,14.49,7,20,4.3697,21.55,50,114
139.6462282,-29.8471695,0.75,3.75,24.406,256.5,3,20,30,7.5,20000,26,5,7.15,5,25,155,4,13.208,3,150,0.5093,46,6,65,7.2095,70,150,114
139.6448112,-29.8493745,0.75,20,21.489,256.5,3,25,30,10,20000,150,1.5,7.15,5,25,200,3,13.5315,3,105,0.5274,48,5,65,7.1777,88,175,114
139.6456182,-29.8517025,0.75,15,22.475,1280,3,65,3.75,7.5,3750,20,3.75,2,3.75,30,200,3,6.288,3,68,0.2128,15,3,3.75,4.5311,25,10,110
139.6465222,-29.8545265,0.75,3.75,22.551,256.5,6,25,5,7.5,5000,80,3.75,24,3.75,25,160,6,7.725,4,92,1.1813,44,4,20,6.996,45,130,340
139.6485212,-29.8559915,0.375,10,26.538,45,8,50,75,7.5,3750,40,3.75,32,5,10,8,3,5.794,3,135,1.616,3,10,25,8.9602,72,41,380
139.6488222,-29.8590175,0.75,5,20.107,115,3,50,3.75,1.77,10000,15,5,7.15,3.75,25,370,3,5.427,3,18,0.4251,10,3,5,4.9396,14,70,8
139.6189682,-29.8394065,0.75,3.75,25.655,1300,6,25,10,7.5,10000,120,5,14,3.75,25,210,4,7.9685,3,88,1.0626,42,10,10,6.3244,32,70,220
139.6187362,-29.8442045,0.75,15,30.101,230,8,20,35,7.5,110000,30,3.75,12,15,70,2,1.5,12.9745,16,150,1.4054,3,3,70,7.4337,20,400,175
139.6195032,-29.8479215,0.75,10,20.355,500,4,30,15,7.5,5000,60,1.5,10,3.75,7.5,30,3,4.5145,3,175,0.9155,22,6,20,5.0901,32,40,140
139.6238962,-29.8558895,1,20,21.802,320,1.195,20,70,1.77,5000,26,1.5,38,3.75,30,13,3,11.534,3,66.5,1.0434,82,22,115,6.7936,70,70,114
139.6503952,-29.8676055,0.75,3.75,22.351,185,6,40,5,1.77,5000,30,1.5,25,3.75,35,26,3,5.2465,3,105,1.2409,12,4,5,6.8498,38,20,220
139.5803052,-29.8601745,0.75,5,19.15,1150,3,3.75,3.75,7.5,3750,60,5,13,3.75,40,240,3,7.648,3,78,0.9034,26,5,10,6.5275,50,40,160
139.5828192,-29.8779055,0.75,5,30.75,220,3,3.75,3.75,7.5,3750,20,3.75,5,3.75,7.5,54,3,1.9965,3,66.5,0.2833,5,3,10,3.5851,10,30,80
139.6169012,-29.8684045,0.75,2.25,21.75,230,3.75,1.5,2,7.5,8000,10,2.25,7,3,10,52,3,3.9345,3.75,66.5,0.44,3,3,6,3.7662,3,86,60
139.6141222,-29.8530085,1,9,28.225,340,5,42,78,10,38000,25,2.25,15,10.5,15,30,3,5.7435,15,290,1.131,3,3,185,6.3015,24,98,75
139.6593302,-29.8822245,1,2.25,28.325,230,3.75,3,16,10,11000,26,2.25,40,9,25,28,4,7.476,15,66.5,0.9746,74,14,48,8.0401,110,44,85
139.6630462,-29.8900765,0.75,5,27.875,500,3.75,9,24,7.5,16000,26,2.25,7.15,22,30,28,3,11.8105,3,66.5,0.482,60,18,88,7.2981,98,200,120
139.6662152,-29.8792525,1.2,6,26.283,120,3,32,19,7.5,4000,26,0.75,7.15,1,15,12,3,11.2345,3,66.5,0.6713,14.49,32,54,7.8206,100,5,114
139.6618572,-29.8884405,1,10,25.306,110,5,54,11,7.5,44200,150,0.75,42,6,18,14,6,8.1545,3,66.5,0.9132,62,20,22,6.7448,21.55,125,114
139.6695352,-29.8794035,0.8,7,24.803,300,3,28,14,7.5,750,26,1,7.15,4,8,25,3,7.3725,5,66.5,0.497,78,15,38,5.595,21.55,30,114
139.6777732,-29.8908105,0.375,15,17.279,45,5,42,10,7.5,310000,3.75,2.25,15,10.5,25,10,3,5.614,10,175,1.4872,3,3,25,6.4225,25,135,35
139.5267612,-29.8991005,0.375,6,15.954,620,3,36,3,1.77,4000,26,0.75,7.15,1,22,65.2,4,6.4905,8,38,0.5317,14.49,7,10,4.4048,21.55,150,114
139.5210962,-29.8991455,0.375,0.75,15.178,256.5,3,28,3,7.5,110000,100,2,24,0.75,9,370,3,6.531,8,46,1.2959,48,3,4,8.0515,54,19,220
139.6697642,-29.8934735,0.375,16,13.509,920,3,54,3,7.5,5000,70,0.75,16,0.75,14,230,3,7.826,4,74,1.0353,24,3,8,7.3971,35,62,195
139.6519902,-29.9013245,1,12,24.726,880,3.75,7,7,7.5,14000,26,2.25,7.15,8,60,280,3,9.8285,15,55,0.5113,14.49,7,36,6.9477,100,86,114
139.6255132,-29.9055265,1,9,20.126,320,3.75,6,6,7.5,5000,26,1.5,7.15,4,70,65.2,3,6.089,10,64,0.5165,14.49,7,22,4.8413,21.55,48,114
139.5623692,-29.9053775,0.375,10,15.633,380,4,50,3,7.5,36000,26,2,7.15,2,42,65.2,3,5.415,8,55,0.5309,14.49,7,14,4.7408,21.55,30,114
139.5626892,-29.8989645,0.375,9,20.977,170,3,40,1.5,1.77,3000,26,8,7.15,0.75,50,65.2,3,6.147,14,50,0.5647,14.49,7,7,6.2744,21.55,25,330
139.6169532,-29.8946265,0.375,3,15.623,260,3,58,4,7.5,2000,140,0.75,4,1,5,100,3,2.971,3,66.5,0.268225,3,6,10,5.292,34,28,90
139.6627112,-29.8958395,1,7,26.935,135,1.195,11,50,10,17000,26,2.25,7.15,19,40,5,3,11.5835,3,105,0.6381,14.49,24,90,5.9152,21.55,280,370
139.6708722,-29.8949825,0.375,0.75,18.96,500,3,28,6,1.77,460000,20,0.75,8,11,2.25,40,3,9.614,3,300,1.0774,3,3,115,6.1416,32,30,125
139.6270352,-29.9017795,0.75,2.25,28.131,170,3.75,42,10,10,185000,30,2.25,9,10.5,10,13,3,5.477,10,185,1.2424,3,4,25,4.9124,22,85,25
139.5573672,-29.9010275,0.75,2.25,28.091,90,3.75,34,80,7.5,170000,35,2.25,15,10.5,10,4,3,5.5125,10,210,1.3501,3,3,25,5.173,28,56,65
139.5488592,-29.8964225,0.75,2.25,31.2,160,3.75,42,10,7.5,95000,30,2.25,15,10.5,10,5,3,5.5555,15,135,1.2224,3,5,25,5.3539,24,54,90
139.5304032,-29.8950985,1,2.25,25.655,160,3.75,36,10,7.5,24000,20,2.25,15,10.5,20,1.5,3,5.9585,10,135,1.1766,3,6,25,4.9089,22,95,100
139.5350742,-29.8993195,1,2.25,21.706,170,5,24,10,7.5,4000,20,2.25,30,10.5,25,25,3,4.9715,3,135,1.0401,3,12,25,5.2423,19,100,95
139.5211812,-29.8919815,0.375,11,17.746,330,3,28,34,7.5,96000,15,0.75,6,16,5,1.5,4,6.7535,4,125,0.6282,3,3,52,4.4964,24,14,94
139.6928072,-29.9132035,0.75,2.25,20.151,580,3.75,2,1.5,7.5,10000,50,1.5,18,1.5,15,310,3,7.2055,10,12,1.042,48,10,6,7.5806,52,28,125
139.6938222,-29.9139805,0.75,2.25,18.151,390,3.75,2,3,7.5,4000,35,1.5,20,2,30,65.2,3,5.3065,15,17,1.0106,38,8,3,7.4105,66,30,115
139.6764712,-29.9156225,0.75,2.25,16.3,410,3.75,2,2,7.5,5000,45,2.25,22,4,40,330,3,6.2405,10,24,0.991,28,4,3,5.6574,22,28,95
139.6765682,-29.9169045,1,2.25,20.826,430,5,4,1.5,7.5,6000,25,1.5,20,4,40,65.2,3,5.0655,15,25,1.0312,32,12,5,6.7487,28,26,110
139.6833382,-29.9195885,0.375,2.25,20.14,330,1.195,20,50,7.5,5000,85,2.25,7.15,26,45,19,3,11.764,15,66.5,0.6327,6,7,170,8.0356,54,135,300
139.6891512,-29.9329105,0.75,2.25,33.3,75,3.75,40,10,7.5,200000,15,1.5,9,10.5,20,24,3,5.644,15,140,1.2579,4,3,25,5.6269,28,78,50
139.6817182,-29.9285685,1,2.25,27.08,50,5,40,70,7.5,105000,3.75,2.25,15,10.5,25,22,3,5.9675,10,185,1.3836,3,3,25,5.5388,24,100,35
139.6691322,-29.9176055,0.75,2.25,19.526,610,5,1.5,3,7.5,19000,35,2.25,18,4,55,320,4,6.297,10,44,0.9772,32,14,3,6.6942,28,50,110
139.6098992,-29.9380545,0.75,2.25,18.002,300,3.75,3,5,10,12000,115,2.25,15,5,30,65.2,3,6.375,5,18,0.9908,40,14,12,7.2246,110,65,125
139.6025802,-29.9390595,0.75,2.25,22.6,256.5,3.75,1.5,6,7.5,1500,20,2.25,36,5,25,65.2,3,6.1745,3,10,0.7874,84,12,35,6.6467,34,45,175
139.6549782,-29.9194835,0.75,2.25,27.955,195,5,45,10,10,120000,10,2.25,10,10.5,15,16,3,5.524,10,165,1.3305,3,3,25,5.3186,19,75,25
139.6342902,-29.9393385,0.75,2.25,24.93,105,5,26,10,7.5,19000,15,2.25,15,10.5,15,1.5,3,5.127,10,270,1.3511,3,3,25,5.4957,25,64,50
139.6076552,-29.9421905,1.6,3,28.205,670,3,50,52,7.5,22000,15,0.75,34,36,6,65.2,6,10.271,5,9,0.9992,5,7,25,7.3829,34,135,200
139.6032272,-29.9402485,0.75,5,26.126,560,3.75,4,13,7.5,14000,75,2.25,17,6,10,340,3,8.165,15,13,0.9633,34,18,16,7.101,34,54,120
139.5881232,-29.9459345,0.375,0.75,15.15,850,3,35,2,7.5,2000,100,0.75,15,0.75,8,390,3,7.242,15,22,1.2833,30,3,3,7.6099,70,34,145
139.5997422,-29.9500925,0.375,14,12.251,450,4,68,1.5,7.5,7000,70,0.75,20,0.75,17,370,3,9.762,10,40,1.4242,38,14,3,9.2994,105,105,125
139.6334732,-29.9982525,0.75,2.25,25.701,880,3.75,1.5,1.5,7.5,320000,55,2.25,7.15,2,85,290,3,7.773,3,44,0.5093,14.49,12,2,7.2927,45,105,300
139.6426302,-29.9965065,0.75,2.25,18.4,256.5,3.75,1.5,5,7.5,5000,80,2.25,34,3,45,370,3,7.0545,10,35,1.1767,14.49,8,15,7.6962,17,48,260
139.6577232,-29.9803915,1,2.25,18.101,256.5,3.75,2,3,7.5,19000,150,2.25,25,3,35,250,3,7.1405,10,115,1.3938,44,12,10,7.8369,56,45,390
139.6569782,-29.9718125,0.75,2.25,19.927,256.5,3.75,1.5,1.5,7.5,7000,180,2.25,7.15,2,80,130,3,5.281,10,55,0.5151,14.49,18,10,7.3544,38,38,380
139.6702512,-29.9611545,1,11,19.277,440,3.75,4,5,7.5,28000,26,3,7.15,1.5,75,390,3,8.8775,15,24,0.5118,14.49,7,13,8.4239,80,68,114
139.6675102,-29.9576175,0.375,6,16.432,300,3.75,4,5,7.5,7000,26,1.5,7.15,3,75,400,3,7.658,3,55,0.5096,14.49,7,13,6.286,21.55,62,114
139.6522812,-29.9673965,0.75,5,22.526,280,3.75,3,1.5,1.77,3000,26,2.25,7.15,1.5,70,65.2,4,6.9705,15,24,0.5084,14.49,7,10,4.8351,21.55,80,114
139.6525732,-29.9680585,0.375,14,18.229,360,3.75,5,4,7.5,40000,26,1.5,7.15,1.5,145,340,3,8.995,15,82,0.5102,14.49,7,15,7.934,21.55,62,114
139.6065582,-29.9821785,0.75,2.25,18.35,910,3.75,1.5,3,7.5,1500,65,2.25,22,2,25,400,3,6.969,3,24,0.9766,32,10,9,6.3511,12,45,130
